Web_Based_Framework,Company,Location,Min_Work_Exp,Javascript,Python,OOP,C_programming,Front_end,DB,Eligibilty,Max_Salary
React.js,IBM,Bangalore,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"17,50,000"
React.js,IBM,Ahmedabad,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"10,00,000"
React.js,IBM,Bangalore,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"17,50,000"
React.js,IBM,Ahmedabad,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Graduate,"17,00,000"
React.js,IBM,Kochi,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"14,90,000"
React.js,IBM,Ahmedabad,8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,PostGraduate,"28,00,000"
React.js,IBM,Ahmedabad,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"14,90,000"
React.js,Accenture,Bangalore,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"13,00,000"
React.js,Accenture,Noida,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"13,00,000"
React.js,Accenture,Chennai,4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Graduate,"13,00,000"
React.js,Accenture,Pune,6,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Graduate,"13,00,000"
React.js,Accenture,Bangalore,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,PostGraduate,"13,00,000"
React.js,Accenture,Chennai,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"13,00,000"
React.js,Accenture,Hyderabad,4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Graduate,"13,00,000"
React.js,Accenture,Gurugram,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"12,00,000"
React.js,Dell,Pune,5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Any,
React.js,Dell,Bangalore,6,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Any,
React.js,Dell,Pune,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,
React.js,Dell,Bangalore,8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Any,
React.js,Dell,Bangalore,8,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Any,
React.js,Dell,Bangalore,8,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,
